File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
13626.txt,31,567,1025,18.29,1.808,12.875
13629.txt,57,857,1531,15.035,1.786,11.354
13637.txt,65,803,1209,12.354,1.506,6.994
13642.txt,40,849,1418,21.225,1.67,12.396
13662.txt,57,1016,1591,17.825,1.566,9.84
13664.txt,53,822,1235,15.509,1.502,8.187
13665.txt,49,617,900,12.592,1.459,6.533
13674.txt,59,956,1599,16.203,1.673,10.466
13688.txt,32,373,550,11.656,1.475,6.355
13707.txt,24,441,721,18.375,1.635,10.868
13715.txt,55,581,840,10.564,1.446,5.59
13730.txt,43,413,605,9.605,1.465,5.442
13741.txt,54,835,1428,15.463,1.71,10.621
13754.txt,45,426,598,9.467,1.404,4.666
13761.txt,45,503,809,11.178,1.608,7.748
13782.txt,72,1161,1876,16.125,1.616,9.766
13804.txt,55,684,1121,12.436,1.639,8.599
13813.txt,57,880,1423,15.439,1.617,9.512
13815.txt,41,666,1114,16.244,1.673,10.483
13896.txt,40,777,1373,19.425,1.767,12.837
13901.txt,51,774,1289,15.176,1.665,9.98
13904.txt,55,704,1141,12.8,1.621,8.527
13905.txt,51,869,1491,17.039,1.716,11.301
13917.txt,48,642,1038,13.375,1.617,8.705
13920.txt,47,963,1647,20.489,1.71,12.582
13927.txt,33,435,700,13.182,1.609,8.539
13935.txt,60,1008,1615,16.8,1.602,9.868
13936.txt,67,800,1224,11.94,1.53,7.121
13971.txt,72,1032,1757,14.333,1.703,10.09
13974.txt,59,647,1045,10.966,1.615,7.746
13987.txt,72,1011,1707,14.042,1.688,9.81
13998.txt,49,876,1490,17.878,1.701,11.453
14010.txt,37,659,1153,17.811,1.75,12.002
14043.txt,53,826,1215,15.585,1.471,7.845
14046.txt,43,445,676,10.349,1.519,6.371
14057.txt,52,924,1405,17.769,1.521,9.283
14088.txt,54,604,916,11.185,1.517,6.668
14098.txt,44,376,531,8.545,1.412,4.407
14101.txt,49,827,1259,16.878,1.522,8.956
14170.txt,81,826,1300,10.198,1.574,6.958
14186.txt,66,850,1401,12.879,1.648,8.882
14194.txt,49,703,1167,14.347,1.66,9.594
14199.txt,102,1781,2662,17.461,1.495,8.857
14221.txt,46,504,752,10.957,1.492,6.289
14245.txt,46,858,1317,18.652,1.535,9.797
14250.txt,57,940,1564,16.491,1.664,10.475
14260.txt,55,915,1639,16.636,1.791,12.035
14261.txt,63,850,1444,13.492,1.699,9.718
14292.txt,37,943,1572,25.486,1.667,14.021
14311.txt,44,416,603,9.455,1.45,5.202
14316.txt,46,750,1286,16.304,1.715,11.002
14328.txt,54,964,1662,17.852,1.724,11.716
14335.txt,69,822,1341,11.913,1.631,8.306
14347.txt,40,560,876,14.0,1.564,8.329
14380.txt,50,425,590,8.5,1.388,4.106
14383.txt,47,626,1048,13.319,1.674,9.359
14386.txt,40,653,1126,16.325,1.724,11.124
14393.txt,54,788,1418,14.593,1.799,11.335
14414.txt,51,799,1329,15.667,1.663,10.147
14424.txt,40,704,1129,17.6,1.604,10.198
14429.txt,52,968,1497,18.615,1.546,9.919
14448.txt,37,310,513,8.378,1.655,7.205
14452.txt,72,754,1148,10.472,1.523,6.46
14455.txt,118,1350,2214,11.441,1.64,8.224
14477.txt,41,378,535,9.22,1.415,4.707
14493.txt,52,862,1437,16.577,1.667,10.546
14499.txt,38,753,1297,19.816,1.722,12.463
14505.txt,63,681,1014,10.81,1.489,6.196
14526.txt,57,919,1447,16.123,1.575,9.277
14567.txt,46,957,1693,20.804,1.769,13.399
