File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
4071.txt,46,411,625,8.935,1.521,5.839
4077.txt,34,308,504,9.059,1.636,7.252
4097.txt,49,912,1571,18.612,1.723,11.995
4123.txt,41,642,1042,15.659,1.623,9.669
4126.txt,55,590,832,10.727,1.41,5.234
4134.txt,27,630,1153,23.333,1.83,15.106
4146.txt,49,987,1738,20.143,1.761,13.044
4152.txt,19,450,715,23.684,1.589,12.396
4162.txt,66,632,1038,9.576,1.642,7.525
4167.txt,56,483,740,8.625,1.532,5.852
4170.txt,52,971,1559,18.673,1.606,10.638
4200.txt,55,954,1664,17.345,1.744,11.757
4214.txt,53,813,1290,15.34,1.587,9.116
4218.txt,53,774,1081,14.604,1.397,6.586
4249.txt,39,391,586,10.026,1.499,6.005
4253.txt,55,386,599,7.018,1.552,5.458
4258.txt,44,624,876,14.182,1.404,6.506
4266.txt,62,865,1409,13.952,1.629,9.072
4273.txt,50,881,1413,17.62,1.604,10.207
4318.txt,56,609,947,10.875,1.555,7.0
4331.txt,51,604,914,11.843,1.513,6.885
4348.txt,45,459,745,10.2,1.623,7.541
4375.txt,54,650,1134,12.037,1.745,9.691
4389.txt,47,755,1152,16.064,1.526,8.68
4430.txt,75,1288,2173,17.173,1.687,11.016
4453.txt,47,577,974,12.277,1.688,9.117
4465.txt,59,946,1557,16.034,1.646,10.085
4503.txt,68,871,1377,12.809,1.581,8.061
4506.txt,51,798,1307,15.647,1.638,9.839
4517.txt,74,1384,2454,18.703,1.773,12.627
4547.txt,54,806,1462,14.926,1.814,11.635
4550.txt,48,627,1002,13.062,1.598,8.362
4557.txt,61,672,1085,11.016,1.615,7.758
4573.txt,45,446,646,9.911,1.448,5.367
4579.txt,46,408,594,8.87,1.456,5.049
4582.txt,61,1171,1795,19.197,1.533,9.985
4589.txt,44,440,648,10.0,1.473,5.688
4613.txt,90,1440,2450,16.0,1.701,10.726
4617.txt,36,748,1327,20.778,1.774,13.447
4619.txt,53,892,1492,16.83,1.673,10.711
4656.txt,55,632,1023,11.491,1.619,7.992
4671.txt,35,342,541,9.771,1.582,6.887
4676.txt,72,681,1111,9.458,1.631,7.35
4683.txt,58,1052,1860,18.138,1.768,12.347
4697.txt,76,617,979,8.118,1.587,6.299
4746.txt,38,830,1363,21.842,1.642,12.306
4752.txt,61,855,1423,14.016,1.664,9.515
4761.txt,62,916,1476,14.774,1.611,9.186
4765.txt,64,807,1247,12.609,1.545,7.561
4770.txt,56,616,886,11.0,1.438,5.672
4809.txt,43,594,994,13.814,1.673,9.544
4827.txt,45,659,979,14.644,1.486,7.651
4854.txt,67,823,1295,12.284,1.574,7.768
4886.txt,48,916,1449,19.083,1.582,10.519
4906.txt,43,393,600,9.14,1.527,5.99
4915.txt,61,1121,1805,18.377,1.61,10.577
4942.txt,52,1310,2356,25.192,1.798,15.457
4947.txt,63,683,1038,10.841,1.52,6.571
4955.txt,58,954,1358,16.448,1.423,7.622
4978.txt,56,911,1448,16.268,1.589,9.51
4979.txt,53,554,801,10.453,1.446,5.548
4980.txt,30,704,1216,23.467,1.727,13.944
5006.txt,34,698,1246,20.529,1.785,13.481
5014.txt,65,675,1010,10.385,1.496,6.116
5038.txt,55,734,1210,13.345,1.649,9.067
5047.txt,44,412,669,9.364,1.624,7.222
5048.txt,52,824,1464,15.846,1.777,11.555
5050.txt,38,933,1707,24.553,1.83,15.575
5115.txt,56,669,1066,11.946,1.593,7.871
5124.txt,58,789,1355,13.603,1.717,9.98
5143.txt,46,923,1633,20.065,1.769,13.112
5149.txt,50,628,1003,12.56,1.597,8.155
5153.txt,22,479,831,21.773,1.735,13.373
5160.txt,72,683,976,9.486,1.429,4.972
5175.txt,35,633,969,18.086,1.531,9.527
5189.txt,51,658,1066,12.902,1.62,8.558
5202.txt,46,782,1334,17.0,1.706,11.169
5224.txt,51,822,1283,16.118,1.561,9.114
5262.txt,42,569,837,13.548,1.471,7.051
5268.txt,64,736,1130,11.5,1.535,7.012
5286.txt,41,380,587,9.268,1.545,6.253
5290.txt,64,856,1431,13.375,1.672,9.353
5305.txt,68,930,1483,13.676,1.595,8.56
5311.txt,59,520,831,8.814,1.598,6.705
5338.txt,52,663,1008,12.75,1.52,7.323
5339.txt,69,1319,2192,19.116,1.662,11.475
5342.txt,53,596,918,11.245,1.54,6.971
5357.txt,51,914,1598,17.922,1.748,12.03
5368.txt,56,819,1364,14.625,1.665,9.766
5371.txt,71,648,1028,9.127,1.586,6.689
5386.txt,43,645,1140,15.0,1.767,11.116
5392.txt,56,864,1531,15.429,1.772,11.337
5406.txt,54,930,1608,17.222,1.729,11.529
5439.txt,48,915,1558,19.062,1.703,11.937
5460.txt,47,351,473,7.468,1.348,3.224
5502.txt,66,949,1627,14.379,1.714,10.248
5509.txt,36,560,879,15.556,1.57,8.998
5528.txt,45,420,599,9.333,1.426,4.879
5541.txt,46,525,861,11.413,1.64,8.213
5545.txt,50,611,901,12.22,1.475,6.576
5570.txt,41,331,485,8.073,1.465,4.849
5594.txt,72,702,1192,9.75,1.698,8.249
5600.txt,20,511,880,25.55,1.722,14.695
5618.txt,44,715,1224,16.25,1.712,10.948
5621.txt,54,853,1422,15.796,1.667,10.242
5625.txt,44,700,1022,15.909,1.46,7.843
5632.txt,52,573,865,11.019,1.51,6.521
5638.txt,24,213,299,8.875,1.404,4.436
5642.txt,50,598,887,11.96,1.483,6.577
5645.txt,44,419,619,9.523,1.477,5.556
5649.txt,55,589,866,10.709,1.47,5.936
5652.txt,37,297,479,8.027,1.613,6.572
5712.txt,45,670,1029,14.889,1.536,8.339
5713.txt,48,532,798,11.083,1.5,6.433
5715.txt,44,310,478,7.045,1.542,5.353
5717.txt,54,521,860,9.648,1.651,7.651
5730.txt,37,320,447,8.649,1.397,4.266
5734.txt,59,770,1232,13.051,1.6,8.38
5752.txt,57,670,1071,11.754,1.599,7.857
5762.txt,44,713,1171,16.205,1.642,10.11
5765.txt,43,822,1363,19.116,1.658,11.432
5808.txt,38,662,1056,17.421,1.595,10.027
5810.txt,51,719,1152,14.098,1.602,8.814
5811.txt,46,1045,1774,22.717,1.698,13.302
5825.txt,71,1053,1689,14.831,1.604,9.121
5834.txt,51,813,1368,15.941,1.683,10.482
5845.txt,46,824,1301,17.913,1.579,10.027
5861.txt,40,527,886,13.175,1.681,9.387
5905.txt,53,590,915,11.132,1.551,7.052
5913.txt,64,758,1153,11.844,1.521,6.978
5926.txt,68,632,1060,9.294,1.677,7.826
5948.txt,43,730,1180,16.977,1.616,10.105
5968.txt,63,771,1156,12.238,1.499,6.875
5969.txt,35,341,510,9.743,1.496,5.858
5999.txt,48,829,1397,17.271,1.685,11.031
6039.txt,49,532,817,10.857,1.536,6.766
6072.txt,48,405,622,8.438,1.536,5.823
6097.txt,79,1079,1749,13.658,1.621,8.864
6098.txt,58,822,1329,14.172,1.617,9.015
6101.txt,51,600,925,11.765,1.542,7.19
6111.txt,62,831,1445,13.403,1.739,10.156
6136.txt,42,621,1114,14.786,1.794,11.344
6140.txt,60,675,1052,11.25,1.559,7.188
6147.txt,73,1301,2087,17.822,1.604,10.29
6175.txt,49,947,1505,19.327,1.589,10.7
6208.txt,66,662,976,10.03,1.474,5.719
6211.txt,38,342,515,9.0,1.506,5.689
6231.txt,44,334,524,7.591,1.569,5.883
6239.txt,42,378,535,9.0,1.415,4.621
6245.txt,88,1452,2445,16.5,1.684,10.715
6280.txt,53,774,1187,14.604,1.534,8.202
6290.txt,56,943,1476,16.839,1.565,9.447
6300.txt,48,982,1695,20.458,1.726,12.756
6306.txt,49,762,1279,15.551,1.678,10.281
6369.txt,42,393,638,9.357,1.623,7.216
6417.txt,43,374,566,8.698,1.513,5.66
6418.txt,28,454,748,16.214,1.648,10.175
6423.txt,70,1062,1583,15.171,1.491,7.916
6428.txt,63,731,1128,11.603,1.543,7.144
6447.txt,40,695,1137,17.375,1.636,10.491
6453.txt,48,731,1102,15.229,1.508,8.138
6456.txt,108,1444,2498,13.37,1.73,10.037
6513.txt,51,578,799,11.333,1.382,5.142
6517.txt,57,1031,1742,18.088,1.69,11.402
6527.txt,51,871,1418,17.078,1.628,10.281
6534.txt,45,653,989,14.511,1.515,7.941
6554.txt,52,951,1594,18.288,1.676,11.321
6580.txt,60,600,856,10.0,1.427,5.145
6581.txt,62,727,1120,11.726,1.541,7.162
6594.txt,51,1051,1803,20.608,1.716,12.69
6600.txt,66,1045,1884,15.833,1.803,11.859
6604.txt,59,644,1066,10.915,1.655,8.199
6605.txt,40,383,586,9.575,1.53,6.199
6614.txt,34,573,987,16.853,1.723,11.308
6628.txt,42,506,867,12.048,1.713,9.327
6639.txt,41,400,596,9.756,1.49,5.797
6640.txt,59,992,1669,16.814,1.682,10.82
6667.txt,65,1051,1776,16.169,1.69,10.656
6682.txt,41,349,454,8.512,1.301,3.08
6685.txt,55,898,1413,16.327,1.573,9.345
6688.txt,42,455,709,10.833,1.558,7.022
6694.txt,38,602,931,15.842,1.547,8.837
6727.txt,53,676,1083,12.755,1.602,8.289
6752.txt,61,652,1009,10.689,1.548,6.84
6753.txt,55,971,1605,17.655,1.653,10.8
6761.txt,67,930,1450,13.881,1.559,8.221
6784.txt,61,674,1026,11.049,1.522,6.682
6796.txt,49,423,706,8.633,1.669,7.471
6812.txt,60,661,1008,11.017,1.525,6.701
6839.txt,60,941,1667,15.683,1.772,11.43
6889.txt,69,1381,2347,20.014,1.699,12.27
6899.txt,57,605,826,10.614,1.365,4.66
6908.txt,43,516,840,12.0,1.628,8.299
6913.txt,51,606,937,11.882,1.546,7.289
6921.txt,48,401,556,8.354,1.387,4.029
6935.txt,53,1117,1886,21.075,1.688,12.553
6940.txt,58,981,1585,16.914,1.616,10.072
6959.txt,47,370,550,7.872,1.486,5.021
7008.txt,65,743,1308,11.431,1.76,9.641
7037.txt,92,764,1248,8.304,1.634,6.924
7039.txt,49,793,1356,16.184,1.71,10.899
7054.txt,58,1122,1849,19.345,1.648,11.4
7064.txt,59,858,1344,14.542,1.566,8.565
7074.txt,32,410,603,12.812,1.471,6.762
7093.txt,31,570,874,18.387,1.533,9.674
7095.txt,45,502,756,11.156,1.506,6.531
7115.txt,68,1495,2573,21.985,1.721,13.293
7120.txt,60,880,1377,14.667,1.565,8.594
7121.txt,66,775,1187,11.742,1.532,7.063
7126.txt,47,492,799,10.468,1.624,7.656
7131.txt,67,423,650,6.313,1.537,5.005
7148.txt,45,364,519,8.089,1.426,4.389
7152.txt,52,676,1020,13.0,1.509,7.285
7156.txt,54,884,1339,16.37,1.515,8.668
7170.txt,67,1254,2193,18.716,1.749,12.345
7192.txt,59,654,940,11.085,1.437,5.693
7199.txt,55,1097,1821,19.945,1.66,11.777
7212.txt,48,506,777,10.542,1.536,6.641
7220.txt,47,948,1568,20.17,1.654,11.794
7254.txt,49,320,448,6.531,1.4,3.477
7275.txt,58,833,1276,14.362,1.532,8.087
7276.txt,56,687,1024,12.268,1.491,6.783
7279.txt,59,674,1006,11.424,1.493,6.478
7290.txt,40,661,1151,16.525,1.741,11.402
7303.txt,26,739,1243,28.423,1.682,15.343
7318.txt,42,422,597,10.048,1.415,5.022
7327.txt,43,387,569,9.0,1.47,5.269
7338.txt,51,911,1618,17.863,1.776,12.334
7339.txt,37,728,1255,19.676,1.724,12.426
7383.txt,60,406,575,6.767,1.416,3.761
7420.txt,46,690,1187,15.0,1.72,10.559
7421.txt,52,1084,1880,20.846,1.734,13.005
7441.txt,46,720,1213,15.652,1.685,10.394
7445.txt,54,699,1116,12.944,1.597,8.298
7451.txt,53,1028,1610,19.396,1.566,10.455
7456.txt,51,588,876,11.529,1.49,6.486
7460.txt,59,985,1551,16.695,1.575,9.502
7486.txt,47,709,1243,15.085,1.753,10.981
7503.txt,59,856,1409,14.508,1.646,9.491
7505.txt,51,892,1502,17.49,1.684,11.101
7523.txt,64,1334,2140,20.844,1.604,11.469
7533.txt,52,889,1437,17.096,1.616,10.151
7555.txt,47,957,1591,20.362,1.662,11.968
7564.txt,31,587,1044,18.935,1.779,12.782
7568.txt,38,642,1040,16.895,1.62,10.114
7602.txt,57,1045,1577,18.333,1.509,9.367
7604.txt,61,894,1348,14.656,1.508,7.918
7607.txt,60,713,1171,11.883,1.642,8.424
7608.txt,55,637,1032,11.582,1.62,8.044
7614.txt,45,796,1410,17.689,1.771,12.211
7631.txt,47,392,541,8.34,1.38,3.948
7642.txt,56,593,915,10.589,1.543,6.747
7647.txt,60,985,1578,16.417,1.602,9.716
7656.txt,64,645,914,10.078,1.417,5.062
7666.txt,135,1894,3000,14.03,1.584,8.572
7672.txt,49,793,1348,16.184,1.7,10.78
7679.txt,45,740,1174,16.444,1.586,9.544
7697.txt,45,761,1221,16.911,1.604,9.938
7702.txt,70,871,1543,12.443,1.772,10.167
7709.txt,33,581,977,17.606,1.682,11.119
7711.txt,74,718,1227,9.703,1.709,8.359
7748.txt,40,484,765,12.1,1.581,7.78
7760.txt,61,896,1521,14.689,1.698,10.17
7765.txt,29,653,1130,22.517,1.73,13.611
7769.txt,44,709,1180,16.114,1.664,10.333
7783.txt,53,965,1579,18.208,1.636,10.819
7797.txt,59,683,1033,11.576,1.512,6.772
7806.txt,54,769,1177,14.241,1.531,8.024
7815.txt,59,858,1358,14.542,1.583,8.758
7865.txt,45,342,503,7.6,1.471,4.729
7883.txt,72,1306,2219,18.139,1.699,11.533
7894.txt,33,681,1142,20.636,1.677,12.246
8009.txt,51,524,802,10.275,1.531,6.477
8010.txt,48,913,1569,19.021,1.719,12.107
8022.txt,22,441,711,20.045,1.612,11.252
8033.txt,56,883,1379,15.768,1.562,8.988
8036.txt,56,890,1508,15.893,1.694,10.602
8044.txt,58,769,1247,13.259,1.622,8.716
8046.txt,50,677,1066,13.54,1.575,8.271
8080.txt,40,342,489,8.55,1.43,4.616
8090.txt,46,795,1362,17.283,1.713,11.366
8110.txt,53,557,855,10.509,1.535,6.622
8129.txt,53,688,1100,12.981,1.599,8.339
8136.txt,39,399,552,10.231,1.383,4.725
8138.txt,43,743,1254,17.279,1.688,11.064
8155.txt,59,631,996,10.695,1.578,7.207
8156.txt,58,831,1349,14.328,1.623,9.153
8167.txt,47,723,1313,15.383,1.816,11.839
8180.txt,51,740,1225,14.51,1.655,9.603
8223.txt,57,711,1082,12.474,1.522,7.232
8225.txt,47,680,1177,14.468,1.731,10.477
8228.txt,42,725,1284,17.262,1.771,12.04
8229.txt,50,508,846,10.16,1.665,8.024
8243.txt,47,570,791,12.128,1.388,5.515
8244.txt,51,837,1265,16.412,1.511,8.645
8249.txt,43,795,1318,18.488,1.658,11.183
8269.txt,48,709,1152,14.771,1.625,9.344
8270.txt,75,1021,1500,13.613,1.469,7.055
8283.txt,45,419,624,9.311,1.489,5.615
8285.txt,26,515,880,19.808,1.709,12.298
8294.txt,52,683,1059,13.135,1.551,7.829
8298.txt,49,771,1237,15.735,1.604,9.479
8305.txt,53,901,1498,17.0,1.663,10.659
8316.txt,60,642,977,10.7,1.522,6.54
8353.txt,36,908,1516,25.222,1.67,13.948
8357.txt,79,801,1257,10.139,1.569,6.882
8381.txt,35,621,1079,17.743,1.738,11.832
8387.txt,61,902,1472,14.787,1.632,9.434
8397.txt,49,656,1024,13.388,1.561,8.051
8400.txt,74,1196,1785,16.162,1.492,8.324
8401.txt,101,1391,2054,13.772,1.477,7.205
8410.txt,51,480,759,9.412,1.581,6.739
8417.txt,54,937,1489,17.352,1.589,9.929
8423.txt,55,576,843,10.473,1.464,5.764
8458.txt,52,793,1249,15.25,1.575,8.943
8474.txt,47,664,1067,14.128,1.607,8.882
8476.txt,33,727,1221,22.03,1.68,12.82
8478.txt,39,749,1227,19.205,1.638,11.231
8480.txt,64,1176,2097,18.375,1.783,12.618
8483.txt,59,917,1577,15.542,1.72,10.764
8508.txt,55,558,856,10.145,1.534,6.469
8509.txt,60,783,1185,13.05,1.513,7.358
8521.txt,67,846,1380,12.627,1.631,8.583
8526.txt,50,970,1683,19.4,1.735,12.45
8554.txt,64,788,1157,12.312,1.468,6.538
8576.txt,68,1407,2361,20.691,1.678,12.28
8588.txt,52,574,868,11.038,1.512,6.559
8603.txt,44,465,725,10.568,1.559,6.929
8606.txt,53,562,861,10.604,1.532,6.623
8607.txt,49,886,1358,18.082,1.533,9.548
8612.txt,50,997,1623,19.94,1.628,11.396
8642.txt,48,413,628,8.604,1.521,5.708
8667.txt,55,547,898,9.945,1.642,7.661
8676.txt,41,362,513,8.829,1.417,4.576
8692.txt,58,704,1151,12.138,1.635,8.436
8694.txt,47,621,954,13.213,1.536,7.691
8709.txt,54,641,1092,11.87,1.704,9.142
8722.txt,55,863,1346,15.691,1.56,8.934
8736.txt,50,897,1450,17.94,1.616,10.481
